id,query,keyword,vector,hybrid,keyword_ms,vector_ms,hybrid_ms,keyword_hits,vector_hits,hybrid_hits
Q01,公司年假有几天？,Y,N,Y,20.6,2398.8,1741.9,3,0,3
Q02,怎么申请年假？,Y,N,Y,25.8,2154.4,1751.2,3,0,3
Q03,迟到会有什么处罚？,Y,N,Y,18.3,1986.6,2160.7,3,0,3
Q04,事假和年假有什么区别？,Y,N,Y,19.6,1864.3,2074.8,3,0,3
Q05,去北京出差，住宿标准是多少？,Y,N,Y,8.0,1931.8,2750.4,3,0,3
Q06,出差坐飞机有什么规定？,Y,N,Y,6.4,2255.3,2005.1,3,0,3
Q07,报销需要哪些材料？,Y,N,Y,26.6,2056.9,2302.4,3,0,3
Q08,系统支持哪几种检索方式？,Y,N,Y,20.8,2006.9,2179.7,3,0,3
Q09,混合检索的融合公式是什么？,Y,N,Y,8.3,2102.3,2227.9,3,0,3
Q10,Embedding API 失效了怎么办？,Y,N,Y,11.7,2329.8,1951.4,3,0,3
